2026-06-03 14:45:00.641 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:45:05.711 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:45:05.711 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:45:05.718 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-03 14:45:05.718 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-03 14:45:05.719 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:45:10.779 | INFO     | src.core.pipeline:initialize:94 | 翻译管道初始化完成
2026-06-03 14:45:10.780 | INFO     | src.core.pipeline:initialize:94 | 翻译管道初始化完成
2026-06-03 14:45:10.780 | INFO     | src.core.pipeline:initialize:94 | 翻译管道初始化完成
2026-06-03 14:45:10.781 | INFO     | src.core.pipeline:initialize:94 | 翻译管道初始化完成
2026-06-03 14:45:10.782 | INFO     | src.core.pipeline:initialize:94 | 翻译管道初始化完成
2026-06-03 14:45:10.824 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:10.824 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:10.824 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.154 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.165 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.190 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.190 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.191 | INFO     | src.core.pipeline:start:124 | ✅ 双向翻译管道已启动
2026-06-03 14:45:11.191 | INFO     | src.core.pipeline:start:124 | ✅ 双向翻译管道已启动
2026-06-03 14:45:11.191 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.191 | INFO     | src.core.pipeline:_outbound_loop:150 | 出站管道(中->外) 启动
2026-06-03 14:45:11.191 | INFO     | src.core.pipeline:_outbound_loop:150 | 出站管道(中->外) 启动
2026-06-03 14:45:11.191 | INFO     | src.core.pipeline:start:124 | ✅ 双向翻译管道已启动
2026-06-03 14:45:11.192 | INFO     | src.core.pipeline:_outbound_loop:150 | 出站管道(中->外) 启动
2026-06-03 14:45:11.192 | INFO     | src.core.pipeline:_inbound_loop:221 | 入站管道(外->中) 启动
2026-06-03 14:45:11.192 | INFO     | src.core.pipeline:_inbound_loop:221 | 入站管道(外->中) 启动
2026-06-03 14:45:11.192 | INFO     | src.core.pipeline:_inbound_loop:221 | 入站管道(外->中) 启动
2026-06-03 14:45:11.193 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.194 | INFO     | src.core.pipeline:start:124 | ✅ 双向翻译管道已启动
2026-06-03 14:45:11.194 | INFO     | src.core.pipeline:_outbound_loop:150 | 出站管道(中->外) 启动
2026-06-03 14:45:11.207 | INFO     | src.audio.stream:open_input:70 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:45:11.207 | INFO     | src.core.pipeline:start:124 | ✅ 双向翻译管道已启动
2026-06-03 14:45:11.207 | INFO     | src.core.pipeline:_outbound_loop:150 | 出站管道(中->外) 启动
2026-06-03 14:45:11.261 | INFO     | src.core.pipeline:_inbound_loop:221 | 入站管道(外->中) 启动
2026-06-03 14:45:11.264 | INFO     | src.core.pipeline:_inbound_loop:221 | 入站管道(外->中) 启动
2026-06-03 14:45:14.518 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:14.518 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:14.518 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:14.519 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:14.519 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:17.758 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:17.759 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:17.759 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:17.760 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:17.760 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:21.011 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:21.012 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:21.013 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:21.013 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:21.014 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:24.328 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:24.328 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:24.329 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:24.329 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:24.329 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:27.571 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:27.572 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:27.574 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:27.575 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:27.575 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:30.814 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:30.815 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:30.815 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:30.816 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:30.817 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:34.067 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:34.068 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:34.069 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:34.070 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:34.071 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:37.384 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:37.385 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:37.386 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:37.386 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:37.387 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:40.627 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:40.627 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:40.627 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:40.627 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:40.628 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:43.870 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:43.872 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:45:43.873 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
