2026-06-04 10:07:57.739 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-04 10:07:57.739 | INFO     | src.main:main:40 | ============================================================
2026-06-04 10:07:57.739 | INFO     | src.main:main:41 | Translator InTime v0.1.0 启动
2026-06-04 10:07:57.739 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-04 10:07:57.739 | INFO     | src.main:main:43 | ============================================================
2026-06-04 10:07:58.055 | INFO     | src.main:main:67 | GUI 已启动
2026-06-04 10:14:10.710 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-04 10:14:10.710 | INFO     | src.main:main:40 | ============================================================
2026-06-04 10:14:10.710 | INFO     | src.main:main:41 | Translator InTime v0.1.0 启动
2026-06-04 10:14:10.711 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-04 10:14:10.711 | INFO     | src.main:main:43 | ============================================================
2026-06-04 10:14:10.899 | INFO     | src.main:main:67 | GUI 已启动
2026-06-04 10:16:40.763 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-04 10:16:40.763 | INFO     | src.main:main:40 | ============================================================
2026-06-04 10:16:40.763 | INFO     | src.main:main:41 | Translator InTime v0.1.0 启动
2026-06-04 10:16:40.764 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-04 10:16:40.764 | INFO     | src.main:main:43 | ============================================================
2026-06-04 10:16:40.953 | INFO     | src.main:main:67 | GUI 已启动
2026-06-04 10:19:58.860 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-04 10:19:58.860 | INFO     | src.main:main:40 | ============================================================
2026-06-04 10:19:58.860 | INFO     | src.main:main:41 | Translator InTime v0.1.0 启动
2026-06-04 10:19:58.860 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-04 10:19:58.860 | INFO     | src.main:main:43 | ============================================================
2026-06-04 10:19:59.044 | INFO     | src.main:main:67 | GUI 已启动
2026-06-04 10:22:22.845 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-04 10:22:22.846 | INFO     | src.main:main:40 | ============================================================
2026-06-04 10:22:22.846 | INFO     | src.main:main:41 | Translator InTime v0.1.0 启动
2026-06-04 10:22:22.846 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-04 10:22:22.846 | INFO     | src.main:main:43 | ============================================================
2026-06-04 10:22:23.029 | INFO     | src.main:main:67 | GUI 已启动
2026-06-04 10:35:00.854 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-04 10:35:00.854 | INFO     | src.main:main:40 | ============================================================
2026-06-04 10:35:00.854 | INFO     | src.main:main:41 | Translator InTime v0.1.0 启动
2026-06-04 10:35:00.854 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-04 10:35:00.854 | INFO     | src.main:main:43 | ============================================================
2026-06-04 10:35:01.059 | INFO     | src.main:main:67 | GUI 已启动
2026-06-04 10:44:29.358 | INFO     | src.core.translator:_init_client:89 | 翻译策略: microsoft (降级: google)
2026-06-04 10:44:29.358 | INFO     | src.core.pipeline:initialize:96 | 初始化翻译管道...
2026-06-04 10:44:29.365 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-04 10:44:29.365 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-04 10:44:29.365 | INFO     | src.core.pipeline:initialize:102 | 下载/加载 Whisper 模型（首次需下载 ~140MB）...
2026-06-04 10:44:29.365 | INFO     | src.core.asr_engine:load_model:42 | 加载 Whisper 模型: faster-whisper-medium, device=cpu
2026-06-04 10:44:29.366 | INFO     | src.core.asr_engine:load_model:66 |   尝试本地: /home/fiend/WorkSpace/python/translator_intime/models/systran/faster-whisper-medium (compute=float16)
2026-06-04 10:44:30.152 | INFO     | src.core.asr_engine:load_model:66 |   尝试本地: /home/fiend/WorkSpace/python/translator_intime/models/systran/faster-whisper-medium (compute=int8)
2026-06-04 10:44:32.181 | INFO     | src.core.asr_engine:load_model:71 | Whisper 模型加载成功 ✓
2026-06-04 10:44:32.182 | INFO     | src.core.asr_engine:load_model:42 | 加载 Whisper 模型: faster-whisper-medium, device=cpu
2026-06-04 10:44:32.182 | INFO     | src.core.asr_engine:load_model:66 |   尝试本地: /home/fiend/WorkSpace/python/translator_intime/models/systran/faster-whisper-medium (compute=float16)
2026-06-04 10:44:32.738 | INFO     | src.core.asr_engine:load_model:66 |   尝试本地: /home/fiend/WorkSpace/python/translator_intime/models/systran/faster-whisper-medium (compute=int8)
2026-06-04 10:44:34.383 | INFO     | src.core.asr_engine:load_model:71 | Whisper 模型加载成功 ✓
2026-06-04 10:44:34.383 | INFO     | src.core.pipeline:initialize:117 | TTS输出: 指定设备 ID=6
2026-06-04 10:44:34.383 | INFO     | src.core.pipeline:initialize:121 | 翻译管道初始化完成
2026-06-04 10:44:34.556 | INFO     | src.audio.stream:open_input:186 | 音频输入流已打开 (device=6, sr=16000)
2026-06-04 10:44:34.556 | WARNING  | src.core.pipeline:start:156 | 游戏声音捕获设备打开失败: Error querying device 28
2026-06-04 10:44:34.557 | ERROR    | src.gui.main_window:_on_error:303 | 管道错误: 'TranslationPipeline' object has no attribute '_outbound_loop'
2026-06-04 10:47:47.601 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-04 10:47:47.601 | INFO     | src.main:main:40 | ============================================================
2026-06-04 10:47:47.601 | INFO     | src.main:main:41 | Translator InTime v0.1.0 启动
2026-06-04 10:47:47.601 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-04 10:47:47.601 | INFO     | src.main:main:43 | ============================================================
2026-06-04 10:47:47.782 | INFO     | src.main:main:67 | GUI 已启动
2026-06-04 10:47:52.244 | INFO     | src.core.translator:_init_client:89 | 翻译策略: volc (降级: microsoft, google)
2026-06-04 10:47:52.245 | INFO     | src.core.pipeline:initialize:96 | 初始化翻译管道...
