2026-06-11 10:05:58.624 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-11 10:05:58.625 | INFO     | src.main:main:40 | ============================================================
2026-06-11 10:05:58.625 | INFO     | src.main:main:41 | 友译 v0.1.0 启动
2026-06-11 10:05:58.625 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-11 10:05:58.625 | INFO     | src.main:main:43 | ============================================================
2026-06-11 10:05:58.949 | INFO     | src.main:main:67 | GUI 已启动
2026-06-11 14:25:02.008 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-11 14:25:02.009 | INFO     | src.main:main:40 | ============================================================
2026-06-11 14:25:02.009 | INFO     | src.main:main:41 | 友译 v0.1.0 启动
2026-06-11 14:25:02.009 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-11 14:25:02.009 | INFO     | src.main:main:43 | ============================================================
2026-06-11 14:25:02.552 | INFO     | src.main:main:67 | GUI 已启动
2026-06-11 14:53:11.598 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-11 14:53:11.598 | INFO     | src.main:main:40 | ============================================================
2026-06-11 14:53:11.598 | INFO     | src.main:main:41 | 友译 v0.1.0 启动
2026-06-11 14:53:11.598 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-11 14:53:11.598 | INFO     | src.main:main:43 | ============================================================
2026-06-11 14:53:11.995 | INFO     | src.main:main:67 | GUI 已启动
2026-06-11 15:09:39.606 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-11 15:09:39.606 | INFO     | src.main:main:40 | ============================================================
2026-06-11 15:09:39.606 | INFO     | src.main:main:41 | 友译 v0.1.0 启动
2026-06-11 15:09:39.606 | INFO     | src.main:main:42 | 实时游戏语音双向翻译系统
2026-06-11 15:09:39.607 | INFO     | src.main:main:43 | ============================================================
2026-06-11 15:09:40.014 | INFO     | src.main:main:67 | GUI 已启动
2026-06-11 15:11:33.488 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
